model_id,org_id,A,C,O,REL10,R50,n_valid_source
01-ai/Yi-1.5-34B,01-ai,0.6581196581196581,0.32639515604469577,-0.33172450207496235,0.11529693852683699,0.2376068376068376,1170
01-ai/Yi-1.5-34B-32K,01-ai,0.6444444444444445,0.326247556748665,-0.3181968876957795,0.10730331012659351,0.24615384615384617,1170
01-ai/Yi-1.5-34B-Chat,01-ai,0.7042735042735043,0.3625850996645807,-0.34168840460892363,0.12236418939601408,0.18974358974358974,1170
01-ai/Yi-1.5-34B-Chat-16K,01-ai,0.6803418803418804,0.34299938973250466,-0.3373424906093757,0.12015213066351323,0.20854700854700856,1170
01-ai/Yi-1.5-6B,01-ai,0.5726495726495726,0.31558731912632054,-0.25706225352325207,0.06934897906106768,0.3384615384615385,1170
01-ai/Yi-1.5-6B-Chat,01-ai,0.6068376068376068,0.3529261785918447,-0.25391142824576207,0.06899684503979185,0.28888888888888886,1170
01-ai/Yi-1.5-9B,01-ai,0.6188034188034188,0.3201664806712825,-0.2986369381321363,0.09358783569919013,0.2905982905982906,1170
01-ai/Yi-1.5-9B-32K,01-ai,0.6111111111111112,0.31894319321291487,-0.2921679178981963,0.08995679939902133,0.29914529914529914,1170
01-ai/Yi-1.5-9B-Chat,01-ai,0.6367521367521367,0.34490262753889267,-0.29184950921324404,0.08990576652073544,0.2717948717948718,1170
01-ai/Yi-1.5-9B-Chat-16K,01-ai,0.6435897435897436,0.3487992585499746,-0.294790485039769,0.09154424494778815,0.26153846153846155,1170
01-ai/Yi-34B,01-ai,0.6461538461538462,0.3270356760847326,-0.3191181700691136,0.10617236108384391,0.24615384615384617,1170
01-ai/Yi-34B-200K,01-ai,0.6581196581196581,0.32547525894510815,-0.33264439917454997,0.1147973894762697,0.24102564102564103,1170
01-ai/Yi-34B-Chat,01-ai,0.6547008547008547,0.3623549309449757,-0.29234592375587903,0.09067781991935261,0.22393162393162394,1170
